DATE,POWER_DEMAND,Predicted_POWER_DEMAND
2016-03-27,3028.0,3049.6309
2016-03-28,2946.0,2871.429
2016-03-29,3265.0,3197.28
2016-03-30,3319.0,3296.662
2016-03-31,3454.0,3422.4966
2016-04-13,3737.0,3680.2844
2016-04-14,3786.0,3810.6116
2016-04-15,3835.0,3894.8076
2016-04-16,3998.0,4092.521
2016-04-17,4198.0,4225.1533
2016-04-18,4287.0,4221.756
2016-04-19,4656.0,4582.8438
2016-04-20,4752.0,4116.208
2016-04-21,4430.0,4159.746
2016-04-22,4653.0,4125.8677
2016-04-23,4653.0,4562.0947
2016-04-24,4204.0,4165.256
2016-04-25,4030.0,4049.6096
2016-04-26,4271.0,4277.2
2016-04-27,4400.0,4425.1216
2016-04-28,4389.0,4428.4233
2016-04-29,4585.0,4580.7686
2016-04-30,4668.0,4594.57
2016-05-13,5249.0,5283.5137
2016-05-14,5339.0,5366.9873
2016-05-15,5226.0,5277.7686
2016-05-16,5258.0,5185.2183
2016-05-17,5376.0,5406.813
2016-05-18,5562.0,5476.7397
2016-05-19,5586.0,5624.7954
2016-05-20,5986.0,5960.3447
2016-05-21,6119.0,6120.376
2016-05-22,5771.0,5791.9688
2016-05-23,5583.0,5579.6885
2016-05-24,5569.0,5462.0645
2016-05-25,5001.0,5161.213
2016-05-26,5203.0,5170.14
2016-05-27,5330.0,5364.282
2016-05-28,5425.0,5417.9854
2016-05-29,5500.0,5444.3853
2016-05-30,4594.0,4985.6836
2016-05-31,4192.0,4302.253
2016-06-13,4883.0,5511.4434
2016-06-14,5800.0,5700.506
2016-06-15,5477.0,5517.7725
2016-06-16,5733.0,5614.6733
2016-06-17,5470.0,5500.3965
2016-06-18,5764.0,5754.7534
2016-06-19,5622.0,5609.565
2016-06-20,5583.0,5581.999
2016-06-21,5499.0,5383.549
2016-06-22,5555.0,5513.0186
2016-06-23,5535.0,5327.384
2016-06-24,5392.0,5452.6147
2016-06-25,5905.0,5892.1963
2016-06-26,5905.0,5728.1514
2016-06-27,5688.0,5696.2783
2016-06-28,5917.0,5824.6826
2016-06-29,5917.0,5916.169
2016-06-30,5959.0,5926.9834
2016-07-13,5230.0,5305.0127
2016-07-14,5327.0,5280.4307
2016-07-15,5414.0,5380.094
2016-07-16,5159.0,5139.0107
2016-07-17,4910.0,4897.4297
2016-07-18,4065.0,4162.8286
2016-07-19,4813.0,4847.08
2016-07-20,5319.0,5401.288
2016-07-21,5575.0,5622.566
2016-07-22,5792.0,5718.1973
2016-07-23,5816.0,5236.105
2016-07-24,5606.0,5217.4736
2016-07-25,5239.0,5175.3413
2016-07-26,5551.0,5496.034
2016-07-27,5551.0,5483.0557
2016-07-28,4723.0,4754.9478
2016-07-29,4822.0,4817.285
2016-07-30,4561.0,4547.4995
2016-07-31,4219.0,4335.4087
2016-08-13,4692.0,4688.0376
2016-08-14,4532.0,4576.067
2016-08-15,4419.0,4483.388
2016-08-16,4779.0,4818.3374
2016-08-17,5253.0,4822.223
2016-08-18,4935.0,4961.8496
2016-08-19,4631.0,4671.126
2016-08-20,5182.0,5208.872
2016-08-21,5032.0,4912.2354
2016-08-22,4987.0,4982.5664
2016-08-23,5216.0,4927.5776
2016-08-24,5239.0,5277.185
2016-08-25,5037.0,4998.612
2016-08-26,4686.0,4759.1636
2016-08-27,5111.0,4892.814
2016-08-28,5021.0,5029.9595
2016-08-29,5176.0,5156.5146
2016-08-30,5176.0,4690.5737
2016-08-31,4722.0,4733.318
2016-09-13,4937.0,4920.0386
2016-09-14,5006.0,4994.4253
2016-09-15,5029.0,5029.6255
2016-09-16,4996.0,5030.68
2016-09-17,5059.0,5030.733
2016-09-18,4932.0,5007.8037
2016-09-19,4926.0,4984.839
2016-09-20,5077.0,5186.891
2016-09-21,5244.0,5310.568
2016-09-22,5400.0,4934.452
2016-09-23,4977.0,4954.2666
2016-09-24,4903.0,4919.0713
2016-09-25,4713.0,4745.4546
2016-09-26,4716.0,4716.5347
2016-09-27,4952.0,4901.3027
2016-09-28,4952.0,4922.776
2016-09-29,4952.0,5098.98
2016-09-30,4952.0,4959.412
2016-10-13,3938.0,3989.1704
2016-10-14,4145.0,4121.9927
2016-10-15,4081.0,3999.3289
2016-10-16,3830.0,3873.3723
2016-10-17,3583.0,3604.9744
2016-10-18,3864.0,3895.268
2016-10-19,3870.0,3750.6926
2016-10-20,3755.0,3989.007
2016-10-21,3973.0,4043.544
2016-10-22,3966.0,3983.2234
2016-10-23,3776.0,3747.0354
2016-10-24,3776.0,3699.605
2016-10-25,3867.0,3928.6738
2016-10-26,3879.0,3803.5774
2016-10-27,3897.0,3863.4658
2016-10-28,3821.0,3736.6033
2016-10-29,3645.0,3597.2375
2016-10-30,3298.0,3240.5234
2016-10-31,2828.0,2875.4858
2016-11-13,2795.0,2989.6877
2016-11-14,2707.0,2762.9854
2016-11-15,2874.0,2936.4321
2016-11-16,2907.0,2969.0415
2016-11-17,2930.0,3024.905
2016-11-18,2962.0,3036.0159
2016-11-19,3055.0,3029.0916
2016-11-20,2837.0,2917.626
2016-11-21,2925.0,2838.7073
2016-11-22,2958.0,3019.6267
